Date,Minimum temperature (Deg C),Maximum Temperature (Deg C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (Deg C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (Deg C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2019-01-1,15.5,26.2,0,7,11,S,35,17:44:00,19.8,74,7,S,6,1013,24.4,45,1,SSW,11,1011.5
2019-01-2,18.4,22.2,0,7,7.5,SSW,39,15:23:00,19.5,64,8,SSE,7,1013.9,21.4,62,1,SSW,19,1012.9
2019-01-3,15.9,29.5,0,6.6,9.3,SSW,26,14:53:00,18.1,75,8,S,2,1012.6,24.6,60,0,SSW,13,1009.9
2019-01-4,18,42.6,0,7.8,12.2,NW,54,12:03:00,29.5,31,0,NNE,9,1005.5,42,16,1,NW,15,1001
2019-01-5,17.4,21.2,0.4,15.4,5.8,SSW,39,08:24:00,18,63,7,S,13,1013.5,19.1,58,7,S,11,1013.4
2019-01-6,14.6,22.1,1.4,6.4,13.3,SSW,33,11:12:00,17.7,55,1,SW,9,1020.4,20.6,48,1,SSW,13,1019.5
2019-01-7,17.1,23.1,0,9,11.1,SSW,39,16:20:00,19.1,55,6,SE,11,1019.8,22.2,60,5,S,15,1016
2019-01-8,16.7,24.1,0,7.2,10.7,SSW,43,15:36:00,20.2,72,7,WSW,2,1011.8,23.5,60,3,SSW,13,1008.7
2019-01-9,16.1,20.5,0.6,7.4,12.5,SSE,37,13:02:00,17.8,62,5,SW,11,1015.7,19.3,46,3,S,15,1016.7
2019-01-10,13.5,21.4,0,8.2,11.2,SSW,31,14:21:00,16.9,53,7,SSW,6,1020.1,20.6,50,5,SSW,17,1018.1
2019-01-11,12.9,30.4,0,4.6,13.4,SSW,30,15:21:00,17.9,64,1,N,9,1016.4,28,32,2,SSW,13,1012.2
2019-01-12,17.7,24.7,0,10.2,11.2,SSW,44,15:06:00,24.1,46,4,S,9,1015.4,22.4,67,5,SSW,20,1016.6
2019-01-13,14.4,30.5,0,9.2,13.4,WSW,35,13:44:00,19.2,60,3,SSE,15,1020.2,25.2,60,1,SW,15,1016.4
2019-01-14,18.7,32.3,0,9.6,13.2,SSW,31,15:40:00,22.8,72,0,SW,4,1013.2,28.8,57,0,SSW,11,1009
2019-01-15,19.4,30.4,0,8.6,7,SSW,31,13:48:00,25.2,66,2,NNE,2,1009.1,25.1,73,7,SSW,17,1009.1
2019-01-16,19.8,26.7,0,6.8,5.3,SSW,41,13:35:00,21.9,76,4,SW,7,1011.2,22.1,75,7,SSW,20,1012.2
2019-01-17,20.7,32.5,0,4.6,1.5,SSW,35,07:24:00,22.7,83,7,SSW,13,1009.9,31.2,51,8,S,6,1008.5
2019-01-18,22.3,28.7,0.2,7.8,2,SSW,33,21:11:00,27.1,50,7,NNW,11,1008.2,22.1,89,7,SSW,13,1008.8
2019-01-19,16.5,23.5,2,4,13.2,SSW,31,15:17:00,18.4,66,1,WSW,7,1020.8,22.9,42,1,S,11,1021.2
2019-01-20,15.2,22.9,0,7.4,10.2,SSW,33,12:42:00,19.9,67,7,S,9,1021.7,22.4,68,1,SSW,11,1020.5
2019-01-21,18.4,25.1,0,6,10.7,SSW,37,17:26:00,20,76,7,SSE,4,1018.1,24.8,66,1,SSW,13,1013.8
2019-01-22,19,26.8,0,7.2,12.1,S,31,17:43:00,21,80,1,NE,7,1013.4,24.9,72,1,SSW,17,1010.8
2019-01-23,18.7,23.9,0,8.8,9.5,SSW,41,16:26:00,20.1,75,8,SSE,11,1016.4,23.1,66,1,SSW,19,1015.3
2019-01-24,17.3,40.8,0,8.2,12.9,SE,26,18:03:00,21.2,73,1,NNE,7,1013.8,38.4,27,1,NE,9,1008.3
2019-01-25,21.1,42.8,0,18,11.1,N,57,09:12:00,35.5,32,5,N,31,1004.7,28.5,50,5,S,15,1003.9
2019-01-26,19.9,26.1,0,15.8,10.3,SSW,37,21:44:00,21.6,63,7,SSE,9,1009.9,24.3,54,1,S,15,1007.3
2019-01-27,18.4,27.8,0,9,8.8,S,30,17:04:00,18.6,59,7,W,9,1011.3,25.8,34,7,SSW,7,1010.8
2019-01-28,15.5,34.5,0,6,12.5,SSW,35,16:27:00,19.3,68,1,NNE,6,1015.6,29.3,42,1,SW,13,1010.5
2019-01-29,17.5,36.8,0,10,12,S,41,15:17:00,19.9,79,3,NNE,11,1011.2,35,26,3,N,13,1007.1
2019-01-30,18,38.1,0,12,9,N,54,15:51:00,21.3,68,2,NNE,9,1008.6,35.6,25,6,W,7,1001.5
2019-01-31,17.2,21.5,6.6,12,11.2,S,48,16:45:00,18.6,61,1,SW,11,1012.5,20.8,51,6,SSW,17,1016.2
2019-02-1,12.6,24.2,0,8.4,13.1,SSW,41,15:08:00,16.4,49,1,SE,15,1022.6,22.4,45,1,S,20,1019
2019-02-2,15,34.4,0,8,12.9,NW,39,12:30:00,19.2,66,1,NE,4,1015.6,33.4,37,2,SSE,7,1010.1
2019-02-3,19.1,38.2,0,11.4,11.5,S,37,18:36:00,25,66,1,SSW,7,1009.7,37,24,5,SW,7,1006.2
2019-02-4,20,22.7,0,14,0.3,SSW,39,15:11:00,20.4,72,7,S,11,1014.5,21.3,71,7,SSW,17,1015.7
2019-02-5,17.7,26.9,0,4.6,3.9,SSE,30,04:32:00,18.5,72,7,SSE,13,1017.7,23.5,64,7,SSW,9,1014.7
2019-02-6,18.5,34.7,0,2,8.7,SW,41,18:23:00,22.3,75,5,N,7,1014.1,33.5,37,6,SSE,9,1009.2
2019-02-7,20.7,28.3,11,5.4,7.9,S,28,11:32:00,23.7,76,5,NNW,11,1011.6,27.5,58,3,S,9,1009.3
2019-02-8,18.1,23.1,0,5.8,7.8,S,33,16:20:00,18.1,83,8,S,9,1009.4,22.3,49,5,SSW,13,1006.3
2019-02-9,14.6,19.7,0,6.8,7.6,SSW,46,13:57:00,16.7,55,7,NNW,15,999.4,18.7,45,7,SSW,20,1003
2019-02-10,13,23.3,4.8,6,10.9,NNW,28,11:06:00,15.7,58,3,NW,7,1010.8,21.9,45,1,S,13,1009
2019-02-11,14.4,27.5,0,6.2,10.9,NNW,39,15:59:00,18.7,68,1,NA,Calm,1005.1,26,44,6,SSW,7,999.8
2019-02-12,18.4,21.5,0,10.6,6.5,SW,46,09:49:00,20.7,55,7,NNW,19,993.2,18.4,41,7,WNW,17,997.9
2019-02-13,11.8,19.2,2.8,6.2,11.3,S,39,10:54:00,13.7,56,1,W,15,1010.2,17.4,47,6,S,15,1013.1
2019-02-14,12.3,23.2,0,6,12.4,S,26,11:34:00,14.9,61,7,NW,9,1020.2,21,45,1,S,9,1019.8
2019-02-15,14.8,22.8,0,5.8,6.5,S,31,13:21:00,18.6,68,7,SSE,7,1024,21.1,66,6,SSW,17,1022.2
2019-02-16,16.1,23.2,0,5.4,8.9,SSW,31,13:20:00,18.7,77,8,SW,6,1019.2,21.9,70,3,S,15,1016.1
2019-02-17,15,29,0,6,8.8,S,20,12:36:00,18.1,80,7,NNE,6,1012.8,27.8,30,7,S,13,1010.9
2019-02-18,18,23.6,0,9.4,6.1,SSW,37,15:32:00,20.2,64,6,WSW,11,1007.3,23.3,59,2,SSW,15,1005.2
2019-02-19,13.7,20.2,0,5.4,9.6,SSW,33,13:56:00,17,59,2,SW,9,1012,18.7,60,7,S,19,1012.8
2019-02-20,13.5,23.2,0,6.2,9.1,S,30,15:14:00,15.9,60,7,WNW,4,1015.3,22,46,5,ENE,6,1014.4
2019-02-21,14,20.4,0,5.8,7.4,SSW,31,13:41:00,17.4,57,7,SSW,11,1020,18.9,60,7,SSW,15,1021.2
2019-02-22,15.5,21.2,0,4.8,10.4,S,39,16:06:00,17.3,64,7,SSE,9,1024.1,20.2,62,1,SSW,17,1023.4
2019-02-23,16.4,25.8,0,8,10.5,ESE,37,19:23:00,17.5,65,7,SSE,9,1025.9,21.2,64,0,SSW,19,1024.1
2019-02-24,13.8,32.9,0,5.2,12.4,NNE,35,10:25:00,18.1,69,0,ENE,4,1026.4,31.8,25,0,N,11,1023.3
2019-02-25,18,34.2,0,15.6,11.4,NNW,43,09:59:00,23.6,36,0,N,19,1025.2,32.2,21,2,NW,13,1021.8
2019-02-26,17.9,22.3,0,12.8,11.4,SSW,35,15:45:00,20.6,81,2,SSW,9,1021.9,21.6,66,2,SSW,17,1021.8
2019-02-27,12.9,25.7,0,6,12,S,24,16:48:00,16.3,71,1,WSW,4,1022.4,24.3,52,1,SW,11,1019
2019-02-28,16.3,36.8,0,8.4,10.1,N,46,09:23:00,24.5,50,1,NNE,9,1018.8,35.3,26,1,N,19,1016.8
2019-03-1,22.6,38.1,0,20,8.5,NE,39,17:29:00,28.5,35,7,N,9,1020.2,36.9,18,2,N,13,1017.9
2019-03-2,22.3,36.3,0,18.4,11.5,NNW,41,09:32:00,26.8,38,0,N,20,1019.7,34.6,26,1,N,20,1016.7
2019-03-3,25.1,36,0,18.2,7.9,N,46,12:56:00,27.9,33,2,N,13,1018.3,35.8,21,7,N,17,1015.5
2019-03-4,19,24.6,0,9.8,8.5,SSW,30,15:34:00,20.7,69,6,SSW,4,1019.6,24.2,60,1,SSW,11,1016.8
2019-03-5,18,24.3,0,6,8.6,SSE,28,17:17:00,20.4,72,7,SSW,4,1013.2,21.6,66,7,S,15,1008.2
2019-03-6,13.2,17.2,1.6,6.4,9.5,W,54,12:46:00,13.8,66,3,WNW,13,1014.1,15.9,53,5,SSW,13,1017.4
2019-03-7,9.7,22.1,2,5.4,11.6,SW,24,14:18:00,11.4,63,1,NE,9,1025.1,20.4,38,6,SSW,6,1021
2019-03-8,11.3,26.8,0,7.6,1.4,NNE,31,12:10:00,15.7,43,7,NE,9,1018,26.4,23,8,NW,7,1016
2019-03-9,13.9,24.7,0,7,9.6,SSW,28,16:24:00,16,62,3,NE,6,1018.6,23.3,44,1,SSW,15,1016.7
2019-03-10,14.3,23.7,0,6.4,2.8,NNW,39,13:52:00,16,87,7,NNE,9,1012,20.1,56,7,NNW,24,1009.3
2019-03-11,15.9,21.8,0.2,4.4,8.2,SW,37,14:52:00,19.9,70,5,NNW,4,1011,20.7,71,3,SSW,13,1009.3
2019-03-12,15.8,19.2,0,4.2,3.1,WSW,39,09:17:00,17.5,59,7,WNW,11,1009.4,17,54,7,SSW,13,1013.2
2019-03-13,11.9,18.6,0,7.2,3.7,SSW,28,14:17:00,13.4,71,7,WSW,9,1018.9,17.7,48,7,S,15,1018.3
2019-03-14,12.1,20.8,0.2,2.6,11.3,SSW,33,14:26:00,16,66,1,S,7,1017,20.1,55,7,SSW,13,1015.7
2019-03-15,11.7,22.2,0,5.2,8.6,SSW,35,14:10:00,15.5,77,3,NNE,4,1019.8,21.1,53,1,SSW,20,1018.8
2019-03-16,12.2,25.6,0,5.2,10.9,SSW,22,14:03:00,14.2,84,1,NE,7,1021,24.4,51,1,SSW,13,1018.4
2019-03-17,14.2,25.6,0,5,9,SSW,24,15:59:00,18.4,91,8,W,4,1019.4,24.7,62,1,SSW,11,1016.4
2019-03-18,16.5,28.2,0,5.2,10.3,SE,33,17:54:00,18.7,75,4,SE,7,1017.9,27.8,50,3,SE,13,1014.7
2019-03-19,16.9,23.4,0,6.6,0.9,SSW,35,15:44:00,19.3,86,7,NA,Calm,1016.2,22.9,77,7,SSW,13,1014.7
2019-03-20,19.3,23.4,0,2.8,2.6,SSW,28,16:10:00,20,96,7,NA,Calm,1015.4,22.2,74,7,SSW,13,1014.6
2019-03-21,18.2,24.3,0,3,3.5,SSW,20,13:36:00,20,86,7,NA,Calm,1016.1,23.2,64,7,S,13,1015.1
